paper_id,year,volume,issue,batch_id,title,first_author,n_authors,pages,doi,record_type,formalism,citation_integrity,structural_integrity,artifact_availability,intellectual_integrity,composite,final,classification,disqualified,flags
lefticaru2010,2010,13,2,2010-v13-n2,Model Checking Based Test Generation from P Systems Using P-Lingua,Raluca Lefticaru,3,153-168,,research,85,90,90,70,88.0,83.5,83.5,STRONG,False,
leporati2010,2010,13,2,2010-v13-n2,Modeling and Analysis of Firewalls by (Tissue-like) P Systems,Alberto Leporati,2,169-180,,research,80,90,85,30,84.75,71.06,71.06,ADEQUATE,False,
obtulowicz2010,2010,13,2,2010-v13-n2,Gandy-Paun-Rozenberg Machines,Adam Obtulowicz,1,181-196,,research,95,90,85,20,90.75,73.06,73.06,ADEQUATE,False,
porreca2010,2010,13,2,2010-v13-n2,Complete Problems for a Variant of P Systems with Active Membranes,Antonio E. Porreca,4,197-207,,research,90,95,90,20,91.75,73.81,73.81,ADEQUATE,False,
sburlan2010,2010,13,2,2010-v13-n2,Notes on Catalytic P Systems,Dragos Sburlan,1,208-216,,research,85,90,85,20,86.75,70.06,70.06,ADEQUATE,False,
cgiurgiu,2010,13,3,2010-v13-n3,ROMANIAN JOURNAL OF INFORMATION,SCIENCE AND TECHNOLOGY,3,,,research,100,85,85,50,91.0,80.75,80.75,STRONG,False,
dburileanu,2010,13,3,2010-v13-n3,ROMANIAN JOURNAL OF INFORMATION,SCIENCE AND TECHNOLOGY,3,,,research,100,85,85,50,91.0,80.75,80.75,STRONG,False,
klazar,2010,13,3,2010-v13-n3,ROMANIAN JOURNAL OF INFORMATION,SCIENCE AND TECHNOLOGY,3,,,research,94,85,85,50,88.6,78.95,24.0,CRITICAL,True,UNNECESSARY_SET_THEORY
kmarton,2010,13,3,2010-v13-n3,ROMANIAN JOURNAL OF INFORMATION,SCIENCE AND TECHNOLOGY,3,,,research,100,85,85,50,91.0,80.75,80.75,STRONG,False,
chesaru2010,2010,13,4,2010-v13-n4,Discontinuous-Time Comparator with State Saving,Valentin Chesaru,4,323-331,,research,85,90,85,50,86.75,77.56,77.56,ADEQUATE,False,
kliros2010,2010,13,4,2010-v13-n4,A Phenomenological Model for the Quantum Capacitance of Monolayer and Bilayer Graphene Devices,George S. Kliros,1,332-341,,research,90,95,90,40,91.75,78.81,78.81,ADEQUATE,False,
cobianu2010,2010,13,4,2010-v13-n4,Emerging All-Differential Chemical Sensing,Cornel Cobianu,5,342-349,,research,80,90,80,60,83.5,77.62,77.62,ADEQUATE,False,
bragaru2010,2010,13,4,2010-v13-n4,Platinum Nanoparticles for Nanocomposite Membranes Preparation,Adina Bragaru,7,350-357,,research,85,90,80,40,85.5,74.12,74.12,ADEQUATE,False,
mihailescu2010,2010,13,4,2010-v13-n4,Two-Steps Profile Diffractive Microlenses Design to Generate Binary Focal Points Along The Propagation Axis,Mona Mihailescu,3,358-367,,research,85,90,85,70,86.75,82.56,82.56,STRONG,False,
damaceanu2010,2010,13,4,2010-v13-n4,Nanostructured Polyimide Films by UV Excimer Laser Irradiation,Mariana-Dana Damaceanu,5,368-377,,research,90,95,85,50,90.5,80.38,80.38,STRONG,False,
volmer2010,2010,13,4,2010-v13-n4,On Designing a Positioning and Detection System for a Lab-on-a-Chip Device,Marius Volmer,2,378-388,,research,85,90,85,60,86.75,80.06,80.06,STRONG,False,
rusu2010,2010,13,4,2010-v13-n4,Macromodel and Emulator of the Avalanche Gate-Controlled Diode Working in the Analog Regime,Adrian Rusu,6,389-398,,research,80,90,85,50,84.75,76.06,76.06,ADEQUATE,False,
gheorghe2011,2011,14,1,2011-v14-n1,A membrane-inspired approximate algorithm for traveling salesman problems,Gexiang Zhang,3,3-19,,research,85,90,85,70,86.75,82.56,82.56,STRONG,False,
metta2011,2011,14,1,2011-v14-n1,Spiking Neural P Systems with Anti-Spikes as Transducers,Venkata Padmavati Metta,3,20-30,,research,90,95,85,50,90.5,80.38,80.38,STRONG,False,
basci2011,2011,14,1,2011-v14-n1,Document Type Definition (DTD) Metrics,Dilek Basci,2,31-50,,research,75,90,90,60,84.0,78.0,78.0,ADEQUATE,False,
ionita2011,2011,14,1,2011-v14-n1,Automatic Transformations for Integrating Instrument Models across Technological Spaces,Anca Daniela Ionita,4,51-66,,research,80,90,85,60,84.75,78.56,78.56,ADEQUATE,False,
hadjkhalifa2011,2011,14,1,2011-v14-n1,Transportation Process of Containers BPMN-Modeling and Transformation into ACTIF Model,Ismahene Hadj Khalifa,3,67-80,,research,75,85,80,50,79.75,72.31,72.31,ADEQUATE,False,
darabant2011,2011,14,1,2011-v14-n1,Clustering methods in data fragmentation,Adrian Sergiu Darabant,2,81-97,,research,80,85,85,50,83.0,74.75,74.75,ADEQUATE,False,
paper101,2011,14,2,2011-v14-n2,A Low Switching Time BiCMOS CML Transmitter for High Speed Adaptive Pre-Emphasis Serial Links,Marius Goosen,3,101-111,,research,85,90,85,30,86.75,72.56,72.56,ADEQUATE,False,
paper102,2011,14,2,2011-v14-n2,A Matching Network Free Approach in Designing Inductorless Low Noise Amplifiers with Programmable Gain for FM-Radio Receivers,Radu Adrian Cojan,2,112-122,,research,85,95,90,30,89.75,74.81,74.81,ADEQUATE,False,
paper103,2011,14,2,2011-v14-n2,Radiation Performance of an Elliptical Patch Antenna with Three Orthogonal Sector Slots,Vijay Sharma,4,123-130,,research,85,90,85,30,86.75,72.56,72.56,ADEQUATE,False,
paper104,2011,14,2,2011-v14-n2,Circular Interpolation for Morphing 3D Facial Animations,Mihai Daniel Ilie,3,131-148,,research,80,90,85,30,84.75,71.06,71.06,ADEQUATE,False,
paper105,2011,14,2,2011-v14-n2,LIPT-Derived Transform Methods Used in Lossless Compression of Text Files,Radu Radescu,1,149-158,,research,85,75,80,30,80.25,67.69,67.69,ADEQUATE,False,
paper106,2011,14,2,2011-v14-n2,PARES - A Model for Parallel Recursive Programs,Virginia Niculescu,1,159-182,,research,80,90,85,20,84.75,68.56,68.56,ADEQUATE,False,
paper107,2011,14,2,2011-v14-n2,Computing Partial Recursive Functions by Deterministic Symport/Antiport P-Systems,Ionut Dinca,1,183-199,,research,85,90,85,20,86.75,70.06,70.06,ADEQUATE,False,
ravariu2011,2011,14,3,2011-v14-n3,Arguments for The NOI Nanotransistor Affiliation to The FETs Family,Cristian Ravariu,2,203-211,,research,85,85,85,50,85.0,76.25,76.25,ADEQUATE,False,
cismaru2011,2011,14,3,2011-v14-n3,EMBG Resonators Based on Carbon Nanotubes for DNA Detection,Alina Cismaru,6,212-221,,research,90,90,85,60,88.75,81.56,81.56,STRONG,False,
serban2011,2011,14,3,2011-v14-n3,CO2 Sensing Layers for SAW/BAW Devices,Bogdan Serban,8,222-231,,research,85,75,80,50,80.25,72.69,67.69,ADEQUATE,False,ELEVATED_SELF_CITATION
neacsu2011,2011,14,3,2011-v14-n3,A Continuous Chaos Generator Using Harmonic Oscillator Circuit,Cristian Neacsu,4,232-241,,research,90,90,90,70,90.0,85.0,85.0,STRONG,False,
rusu2011,2011,14,3,2011-v14-n3,Programmable Low Pass Filter Using the Gated Diode in Breakdown Collapse Regime,Alexandru Rusu,4,242-250,,research,85,85,85,65,85.0,80.0,80.0,STRONG,False,
stanescu2011,2011,14,3,2011-v14-n3,Adjustable LDO with External Control Technique for Current Limit,Cornel Stanescu,4,251-258,,research,90,90,90,70,90.0,85.0,85.0,STRONG,False,
giacomozzi2011,2011,14,3,2011-v14-n3,A Flexible Fabrication Process for RF MEMS Devices,F. Giacomozzi,6,259-268,,research,95,90,85,70,90.75,85.56,85.56,STRONG,False,
bunea2011,2011,14,3,2011-v14-n3,Analytic and Electromagnetic Investigation of Millimeter Wave Membrane Supported CPWs Processed on High Resistivity Silicon,Alina-Cristina Bunea,3,269-283,,research,90,90,90,65,90.0,83.75,83.75,STRONG,False,
buiculescu2011,2011,14,3,2011-v14-n3,Operating Frequency Extension of Surface Assembled Microwave Components,Valentin Buiculescu,1,284-295,,research,85,90,85,60,86.75,80.06,80.06,STRONG,False,
sirbu2011,2011,14,4,2011-v14-n4,Nanostructured Film of Indium Phosphide as Biosensor in 1D Array Electrowetting System,L. Sirbu,10,299-308,,research,85,90,85,60,86.75,80.06,80.06,STRONG,False,
nedelcu2011,2011,14,4,2011-v14-n4,A Thermal Study on Joule-Heating Induced Effects in Dielectrophoretic Microfilters,Oana Tatiana Nedelcu,1,309-323,,research,85,90,90,50,88.0,78.5,78.5,ADEQUATE,False,
kosa2011,2011,14,4,2011-v14-n4,Longitudinal Elastic Waves in Deformed Carbon Nanotubes,Gergely Kosa,3,324-333,,research,90,90,85,40,88.75,76.56,76.56,ADEQUATE,False,
stefanescu2011,2011,14,4,2011-v14-n4,Analysis of GaN Based SAW Resonators including FEM Modeling,A. Stefanescu,6,334-345,,research,85,90,90,70,88.0,83.5,83.5,STRONG,False,
vasile2011,2011,14,4,2011-v14-n4,Study of Microstructure and Elemental Micro-Composition of ZnO:Al Thin Films by Scanning and High Resolution Transmission Electron Microscopy and Energy Dispersive X-Ray Spectroscopy,E. Vasile,4,346-355,,research,90,90,85,60,88.75,81.56,81.56,STRONG,False,
dragoi2011,2011,14,4,2011-v14-n4,Aligned Fusion Wafer Bonding for CMOS-MEMS and 3D Wafer-Level Integration Applications,V. Dragoi,5,356-364,,research,90,85,85,70,87.0,82.75,82.75,STRONG,False,
ionascu2011,2011,14,4,2011-v14-n4,Paper from corrupted PDF file,Unknown,1,365-379,,unreadable,,,,,,,,NOT_APPLICABLE,False,PDF_CORRUPTED
kim2011,2011,14,4,2011-v14-n4,A Clock Generating System for USB 2.0 with a High-PSR Bandgap Reference Generator,Seok Kim,5,380-391,,research,85,90,85,80,86.75,85.06,85.06,STRONG,False,
tulbure2011,2011,14,4,2011-v14-n4,Testability Optimizations for A Time Multiplexed CPLD Implemented on Structured ASIC Technology,Traian Tulbure,2,392-398,,research,90,85,85,60,87.0,80.25,80.25,STRONG,False,
cabarle2012,2012,15,1,2012-v15-n1,Improving GPU Simulations of Spiking Neural P Systems,Francis George C. Cabarle,4,5-20,,research,85,90,85,50,86.75,77.56,77.56,ADEQUATE,False,
jebasingh2012,2012,15,1,2012-v15-n1,Constructing Non-Periodic Tiling Patterns with P System,Stephen Raj Jebasingh,3,21-32,,research,85,90,80,30,85.5,71.62,71.62,ADEQUATE,False,
niu2012,2012,15,1,2012-v15-n1,Solving Common Algorithmic Problem by Recognizer Tissue P Systems,Yunyun Niu,3,33-49,,research,90,95,90,30,91.75,76.31,76.31,ADEQUATE,False,
li2012,2012,15,1,2012-v15-n1,A Modified Estimation of Distribution Algorithm for Digital Filter Design,Yuquan Li,6,50-62,,research,80,90,85,40,84.75,73.56,73.56,ADEQUATE,False,
muniyandi2012,2012,15,1,2012-v15-n1,Modeling Hormone-induced Calcium Oscillations in Liver Cell with Membrane Computing,Ravie Chandren Muniyandi,2,63-76,,research,80,90,80,50,83.5,75.12,75.12,ADEQUATE,False,
alexandru2012,2012,15,2,2012-v15-n2,Nominal Event Structures,Andrei Alexandru,2,79-90,,research,95,90,90,20,92.0,74.0,74.0,ADEQUATE,False,
franti2012,2012,15,2,2012-v15-n2,Methods of Acquisition and Signal Processing for Myoelectric Control of Artificial Arms,Eduard Franti,8,91-105,,research,85,90,85,40,86.75,75.06,75.06,ADEQUATE,False,
crawford2012,2012,15,2,2012-v15-n2,Dynamic Selection of Enumeration Strategies for Solving Constraint Satisfaction Problems,Broderick Crawford,6,106-128,,research,80,90,85,30,84.75,71.06,71.06,ADEQUATE,False,
khan2012,2012,15,2,2012-v15-n2,Optimized Dynamic Task Allocation and Priority Assignments in an Immunized Autonomous Multi-Robot Search and Rescue Operation,M. Tahir Khan,5,129-145,,research,80,85,85,40,83.0,72.25,72.25,ADEQUATE,False,
ahmad2012,2012,15,2,2012-v15-n2,Congestion Control in Multi Channel 802.11b and 802.11g Wireless Networks,Mudassar Ahmad,3,146-154,,research,90,85,75,30,84.5,70.88,70.88,ADEQUATE,False,
akashe2012,2012,15,2,2012-v15-n2,High Density and Low Leakage Current Based 5T SRAM Cell Using 45 nm Technology,Shyam Akashe,3,155-168,,research,85,85,85,50,85.0,76.25,76.25,ADEQUATE,False,
alexandru2012,2012,15,3,2012-v15-n3,Nominal Semantics of Mobility,Andrei Alexandru,2,171-214,,research,95,95,90,0,93.75,70.31,70.31,ADEQUATE,False,
petrica2012,2012,15,3,2012-v15-n3,A SIMD Approach to Thread Matching for Interleaved Multithreading,Lucian Petrica,1,215-228,,research,85,90,85,30,86.75,72.56,72.56,ADEQUATE,False,
ilie2012,2012,15,3,2012-v15-n3,An efficient 3D Visual Speech Synthesis Framework for Romanian Language Logopedics use,Mihai Daniel Ilie,3,229-245,,research,80,95,90,50,87.75,78.31,78.31,ADEQUATE,False,
subramanian2012,2012,15,3,2012-v15-n3,Generative models for pictures tiled by triangles,K. G. Subramanian,4,246-265,,research,90,90,85,0,88.75,66.56,66.56,ADEQUATE,False,
shi2012,2012,15,3,2012-v15-n3,An Efficient RSA-Based Remote User Authentication Scheme,Wenbo Shi,2,266-276,,research,80,90,85,0,84.75,63.56,63.56,ADEQUATE,False,
cret2012,2012,15,3,2012-v15-n3,Implementing True Random Number Generators Based on High Fanout Nets,Octavian Cret,3,277-298,,research,75,85,90,70,82.25,79.19,79.19,ADEQUATE,False,
ramanujan2012,2012,15,4,2012-v15-n4,Control Languages Associated with Spiking Neural P Systems,Ajeesh Ramanujan,2,301-318,,research,90,90,90,0,90.0,67.5,67.5,ADEQUATE,False,
mandal2012,2012,15,4,2012-v15-n4,Maintaining a Minimum Spanning Tree for Kinetic Autonomous Robots in 2D-Euclidean Plane,Chintan Mandal,3,319-334,,research,85,90,80,0,85.5,64.12,64.12,ADEQUATE,False,
chang2012,2012,15,4,2012-v15-n4,On The Harmonic Index and The Minimum Degree of A Graph,Renying Chang,2,335-343,,research,90,95,85,0,90.5,67.88,67.88,ADEQUATE,False,
stanimirovic2012,2012,15,4,2012-v15-n4,Block Method for Convex Polygon Triangulation,Predrag S. Stanimirovic,4,344-354,,research,85,90,85,60,86.75,80.06,80.06,STRONG,False,
kusko2012,2012,15,4,2012-v15-n4,Design Studies of Integrated Fabry-Perot Sensor Based on Bragg Grating Mirrors,Mihai Kusko,1,355-367,,research,85,90,90,40,88.0,76.0,76.0,ADEQUATE,False,
franti2012,2012,15,4,2012-v15-n4,Personalized Support System for The Patients with Forearm Amputations,Eduard Franti,10,368-376,,research,85,85,75,30,82.5,69.38,69.38,ADEQUATE,False,
sosik2013,2013,16,1,2013-v16-n1,A Catalytic P System with Two Catalysts Generating a Non-Semilinear Set,Petr Sosik,1,3-9,,research,95,90,85,30,90.75,75.56,75.56,ADEQUATE,False,
ege2013,2013,16,1,2013-v16-n1,Cohomology Theory for Digital Images,Ozgur Ege,2,10-28,,research,95,85,90,20,90.25,72.69,72.69,ADEQUATE,False,
teodorescu2013,2013,16,1,2013-v16-n1,Improved Heterogeneous Gaussian and Uniform Mixed Models (G-U-MM) and Their Use in Image Segmentation,Horia-Nicolai Teodorescu,2,29-51,,research,80,85,80,35,81.75,70.06,70.06,ADEQUATE,False,
soto2013,2013,16,1,2013-v16-n1,Nurse and Paramedic Rostering with Constraint Programming: A Case Study,Ricardo Soto,5,52-64,,research,85,85,85,60,85.0,78.75,78.75,ADEQUATE,False,
yousefikhoshbakht2013,2013,16,1,2013-v16-n1,Modification of the Ant Colony Optimization for Solving the Multiple Traveling Salesman Problem,Majid Yousefikhoshbakht,3,65-80,,research,80,80,80,40,80.0,70.0,70.0,ADEQUATE,False,
morariu2013,2013,16,1,2013-v16-n1,Vector versus Tree Model Representation in Document Clustering,Daniel I. Morariu,3,81-102,,research,80,85,85,45,83.0,73.5,73.5,ADEQUATE,False,
spariosu2013,2013,16,2,2013-v16-n2,Computational Models of Intercultural Relations in Banat and Transylvania: Theoretical and Practical Issues,Mihai I. Spariosu,1,109-130,,research,75,85,80,30,79.75,67.31,67.31,ADEQUATE,False,
malita-stefan2013a,2013,16,2,2013-v16-n2,Real Complexity vs. Apparent Complexity in Modeling Social Processes,Mihaela Malita,2,131-143,,research,85,90,85,40,86.75,75.06,75.06,ADEQUATE,False,
trausanmatu2013,2013,16,2,2013-v16-n2,"A Polyphonic Model, Analysis Method and Computer Support Tools for the Analysis of Socially-Built Discourse",Stefan Trausan-Matu,1,144-154,,research,80,85,85,70,83.0,79.75,79.75,ADEQUATE,False,
schloer2013,2013,16,2,2013-v16-n2,The Quantum Relation Principle: Technological Implementation and Real World Application in Intercultural Conflict Detection and Management,Hardy F. Schloer,1,155-176,,research,60,75,70,20,67.75,55.81,50.81,LIMITED,False,NO_LIMITATIONS
malita-stefan2013b,2013,16,2,2013-v16-n2,Control Global Loops in Self-Organizing Systems,Mihaela Malita,2,177-191,,research,85,90,90,80,88.0,86.0,86.0,STRONG,False,
cremene2013,2013,16,2,2013-v16-n2,A Game Theoretical Perspective on Cooperation in Low Confidence Environments,Marcel Cremene,3,192-202,,research,80,90,85,40,84.75,73.56,73.56,ADEQUATE,False,
suciu2013,2013,16,2,2013-v16-n2,Evolutionary Dynamic for Inter-Group Cooperation,Mihai Suciu,3,203-216,,research,80,90,85,40,84.75,73.56,73.56,ADEQUATE,False,
neumann2013,2013,16,2,2013-v16-n2,Securitizing the Nation: Simulating the Dynamics of Conflict Escalation at the Case of Former Yugoslavia,Martin Neumann,1,217-236,,research,80,90,90,60,86.0,79.5,79.5,ADEQUATE,False,
jecan2013,2013,16,2,2013-v16-n2,Concept Mapping of Ideological Positioning in Cultural and Political Periodicals in the Interbellum Cluj,Vlad Jecan,2,237-250,,research,85,85,80,50,83.75,75.31,75.31,ADEQUATE,False,
zhong2013,2013,16,4,2013-v16-n4,On The Harmonic Index and The Girth for Graphs,Lingping Zhong,1,253-260,,research,90,95,90,0,91.75,68.81,68.81,ADEQUATE,False,
alexandru2013,2013,16,4,2013-v16-n4,Nominal Techniques for I-Calculus,Andrei Alexandru,2,261-286,,research,90,90,90,0,90.0,67.5,67.5,ADEQUATE,False,
garg2013,2013,16,4,2013-v16-n4,A Secure Image Based Watermarking for 3D Polygon Mesh,Hitendra Garg,2,287-303,,research,75,90,85,30,82.75,69.56,69.56,ADEQUATE,False,
andreica2013,2013,16,4,2013-v16-n4,Sequential Algorithms for Constructing an 'Out-of-Place' Multidimensional Quad-Tree Index for Answering Exact and Approximate Fixed-Radius Nearest Neighbor Queries,Mugurel Ionut Andreica,2,304-323,,research,80,85,85,30,83.0,69.75,69.75,ADEQUATE,False,
wu2013,2013,16,4,2013-v16-n4,An Improved Authentication Protocol for Session Initiation Protocol Using Smart Card and Elliptic Curve Cryptography,Kan Wu,5,324-335,,research,85,90,90,0,88.0,66.0,66.0,ADEQUATE,False,
bira2013,2013,16,4,2013-v16-n4,OPINCAA: A Light-Weight and Flexible Programming Environment For Parallel SIMD Accelerators,Calin Bira,3,336-350,,research,85,90,85,70,86.75,82.56,82.56,STRONG,False,
mao2013,2013,16,4,2013-v16-n4,Ordering Trees by Sum-Connectivity Indices,Jianshu Mao,2,351-364,,research,90,90,90,0,90.0,67.5,67.5,ADEQUATE,False,
delrey2013,2013,16,4,2013-v16-n4,A Note on the Reversibility Of Elementary Cellular Automaton 150 With Periodic Boundary Conditions,Angel Martin del Rey,1,365-372,,research,85,90,85,0,86.75,65.06,65.06,ADEQUATE,False,
bansal2013,2013,16,4,2013-v16-n4,Distributed Scheduling on Utility Grids,Sunita Bansal,2,373-392,,research,75,85,85,40,81.0,70.75,70.75,ADEQUATE,False,
jiang2014,2014,17,1,2014-v17-n1,Small universal sequential spiking neural P systems based on minimum spike number,Keqin Jiang,4,5-18,,research,90,90,85,30,88.75,74.06,74.06,ADEQUATE,False,
kong2014,2014,17,1,2014-v17-n1,Small Universal Spiking Neural P Systems with Astrocytes,Yuan Kong,4,19-32,,research,90,90,85,30,88.75,74.06,74.06,ADEQUATE,False,
metta2014,2014,17,1,2014-v17-n1,Parallel Programming in Spiking Neural P Systems with Anti-Spikes,Venkata Padmavati Metta,2,33-45,,research,80,85,80,30,81.75,68.81,68.81,ADEQUATE,False,
nicolescu2014,2014,17,1,2014-v17-n1,Complex Objects for Complex Applications,Radu Nicolescu,2,46-62,,research,85,90,85,40,86.75,75.06,75.06,ADEQUATE,False,
peng2014a,2014,17,1,2014-v17-n1,A Region-based Color Image Segmentation Method Based on P Systems,Hong Peng,5,63-75,,research,65,85,75,40,74.5,65.88,24.0,CRITICAL,True,FORMALISM_THEATER
peng2014b,2014,17,1,2014-v17-n1,DE-MC: A Membrane Clustering Algorithm Based on Differential Evolution Mechanism,Hong Peng,5,76-88,,research,55,85,75,40,70.5,62.88,24.0,CRITICAL,True,FORMALISM_THEATER
perezhurtado2014,2014,17,1,2014-v17-n1,A P-Lingua based Simulator for Tissue P Systems with Cell Separation,Ignacio Perez-Hurtado,5,89-102,,research,80,90,85,70,84.75,81.06,81.06,STRONG,False,
subramanian2014,2014,17,1,2014-v17-n1,Parallel Array-rewriting P Systems,K.G. Subramanian,4,103-116,,research,85,90,85,30,86.75,72.56,72.56,ADEQUATE,False,
lvintan2014,2014,17,2,2014-v17-n2,Multi-Objective Optimization of Advanced Computing Systems: Some Achievements and Fertile Work Directions,Lucian N. Vintan,1,121-133,,research,80,85,85,70,83.0,79.75,79.75,ADEQUATE,False,
gpop2014,2014,17,2,2014-v17-n2,A Quality-Aware Forensic Speaker Recognition System,Gheorghe Pop,3,134-149,,research,85,90,90,40,88.0,76.0,76.0,ADEQUATE,False,
cbira2014,2014,17,2,2014-v17-n2,Transpose-MapReduce Applications on Connex Architecture,Calin Bira,4,150-176,,research,85,90,90,60,88.0,81.0,81.0,STRONG,False,
taosong2014,2014,17,2,2014-v17-n2,A Small Universal Spiking Neural P System with Cooperating Rules,Tao Song,2,177-189,,research,95,90,95,30,93.25,77.44,77.44,ADEQUATE,False,
pgrzegorek2014,2014,17,2,2014-v17-n2,Online Algorithms for 3-Space Bounded 2-Dimensional Bin Packing and Square Packing,Paulina Grzegorek,2,190-203,,research,95,90,95,30,93.25,77.44,77.44,ADEQUATE,False,
rsoto2014,2014,17,2,2014-v17-n2,Sequentially Dependent Meta-Constraint Satisfaction Problem: An Application to Video Games,Ricardo Soto,4,204-216,,research,75,85,85,50,81.0,73.25,73.25,ADEQUATE,False,
cboiangiu2014,2014,17,3,2014-v17-n3,Applying Localized Otsu for Watershed Segmented Images,Costin-Anton Boiangiu,2,219-229,,research,75,90,80,40,81.5,71.12,71.12,ADEQUATE,False,
zhuyan2014,2014,17,3,2014-v17-n3,On the Harmonic Index of Unicyclic Conjugated Molecules,Yan Zhu,2,230-236,,research,95,95,90,20,93.75,75.31,75.31,ADEQUATE,False,
msaracevic2014,2014,17,3,2014-v17-n3,Construction and Notation of Convex Polygon Triangulation Based on Ballot Problem,Muzafer H. Saracevic,4,237-251,,research,85,90,85,70,86.75,82.56,82.56,STRONG,False,
wpalma2014,2014,17,3,2014-v17-n3,A Binary Coded Firefly Algorithm that Solves the Set Covering Problem,Broderick Crawford,7,252-264,,research,65,85,80,30,75.75,64.31,64.31,ADEQUATE,False,
gciobanu2014,2014,17,3,2014-v17-n3,A Nominal Approach of Fusion Calculus,Andrei Alexandru,2,265-288,,research,95,95,90,10,93.75,72.81,72.81,ADEQUATE,False,
ichitescu2014,2014,17,3,2014-v17-n3,Sugeno Measures on the Code Space,Ion Chitescu,2,289-301,,research,95,90,90,10,92.0,71.5,71.5,ADEQUATE,False,
bunea2014,2014,17,4,2014-v17-n4,Low Temperature Co-Fired Ceramic Antenna for 35 GHz Applications with a Wideband GCPW to Stripline Transition,A. C. Bunea,4,305-319,,research,85,90,85,60,86.75,80.06,80.06,STRONG,False,
giangu2014,2014,17,4,2014-v17-n4,Development and Experimental Results on LTCC Packages for Acoustic Wave Sensing Devices,I. Giangu,12,320-339,,research,85,90,85,70,86.75,82.56,82.56,STRONG,False,
pascu2014,2014,17,4,2014-v17-n4,POCl3 Annealing Effect on The Flat Band Voltage Instabilities for a SiC Based MOS Capacitor at High Temperature,Razvan Pascu,8,340-352,,research,80,90,85,50,84.75,76.06,76.06,ADEQUATE,False,
vornicu2014,2014,17,4,2014-v17-n4,A CMOS Imager for Time-of-Flight and Photon Counting Based on Single Photon Avalanche Diodes and In-Pixel Time-to-Digital Converters,Ion Vornicu,3,353-371,,research,85,90,90,70,88.0,83.5,83.5,STRONG,False,
biziitu2014,2014,17,4,2014-v17-n4,Integrated Dual-chain Dickson Charge Pump optimized for Resistive Loads,Florin Biziitu,3,372-388,,research,80,85,85,70,83.0,79.75,79.75,ADEQUATE,False,
tudor2014,2014,17,4,2014-v17-n4,Beam Shaping for Phase Singularities,Rebeca Tudor,7,389-404,,research,85,90,85,80,86.75,85.06,85.06,STRONG,False,
sandu2014,2014,17,4,2014-v17-n4,Dielectric Sensing with Back-Gated Nanowires,George Boldeiu,3,405-416,,research,85,90,85,50,86.75,77.56,77.56,ADEQUATE,False,
banu2014,2014,17,4,2014-v17-n4,High Temperature Compensated Voltage Reference Integrated Circuits on 4H-SiC Material,Viorel Banu,6,417-432,,research,80,85,85,70,83.0,79.75,79.75,ADEQUATE,False,
popescu2015,2015,18,1,2015-v18-n1,Networks of Polarized Evolutionary Picture Processors,Stefan Popescu,1,3-17,,research,90,90,85,0,88.75,66.56,66.56,ADEQUATE,False,
sys2015,2015,18,1,2015-v18-n1,On the Interpretation of Results from the NIST Statistical Test Suite,Marek Sys,5,18-32,,research,85,90,90,40,88.0,76.0,76.0,ADEQUATE,False,
